sign_id,unicode_codepoint,codepoint_decimal,unicode_char,unicode_name,unicode_block,auto_label,png_path,has_manual_annotation,gardiner_code,zh_name,en_name,phonetic_value,meaning_zh,meaning_en,related_terms,text_search_terms,category,annotation_source,processed_png_path,relief_variant,relief_png_path,relief_generation_method,view_name,clip_score,clip_recall_rank,binary_hog_score,edge_hog_score,hu_score,structure_score,clip_norm,binary_hog_norm,edge_hog_norm,hu_norm,structure_norm,final_rerank_score,final_rank,confidence_level
U_132C8,U+132C8,78536,𓋈,EGYPTIAN HIEROGLYPH R021,Egyptian Hieroglyphs,R021,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132C8.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132C8_processed.png,relief_light_right,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132C8_relief_light_right.png,synthetic_stone_relief_v1,query_relief_style,0.8314201235771179,11,0.46929497,0.38663948,0.03970238290342,0.04154418408870697,0.6338625,0.40032008,0.41581258,0.07005788,0.26680428,0.58687264,11,中
U_132C1,U+132C1,78529,𓋁,EGYPTIAN HIEROGLYPH R015,Egyptian Hieroglyphs,R015,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132C1.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132C1_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132C1_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.8307923078536987,12,0.43486935,0.36163455,0.03937892821084963,0.03919278457760811,0.62046427,0.31209898,0.3248058,0.06867049,0.07343929,0.5626417,12,中
U_1339E,U+1339E,78750,𓎞,EGYPTIAN HIEROGLYPH V029A,Egyptian Hieroglyphs,V029A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1339E.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1339E_processed.png,relief_strong_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1339E_relief_strong_shadow.png,synthetic_stone_relief_v1,binary_mask,0.8300547003746033,13,0.4573635,0.40429777,0.028398425765076986,0.038850028067827225,0.60472304,0.3697438,0.48008093,0.021571504,0.045253053,0.5569546,13,中
U_13075,U+13075,77941,𓁵,EGYPTIAN HIEROGLYPH C024,Egyptian Hieroglyphs,C024,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13075.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13075_processed.png,relief_light_right,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13075_relief_light_right.png,synthetic_stone_relief_v1,query_relief_style,0.8283529877662659,14,0.53792167,0.45639467,0.028347396685067222,0.03954663872718811,0.5684068,0.5761869,0.6696905,0.021352625,0.10253813,0.547196,14,低
U_13071,U+13071,77937,𓁱,EGYPTIAN HIEROGLYPH C020,Egyptian Hieroglyphs,C020,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13071.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13071_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13071_relief_noise.png,synthetic_stone_relief_v1,cropped_gray,0.8281574249267578,15,0.5246999,0.46481684,0.02855927673569658,0.04157165065407753,0.5642333,0.5423041,0.70034343,0.022261444,0.26906297,0.54619944,15,低
U_132E2,U+132E2,78562,𓋢,EGYPTIAN HIEROGLYPH S014B,Egyptian Hieroglyphs,S014B,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132E2.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132E2_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132E2_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.8276375532150269,16,0.5294751,0.43141082,0.0391677588068809,0.04176364839076996,0.55313873,0.55454123,0.5787604,0.0677647,0.2848517,0.5343208,16,低
U_132C7,U+132C7,78535,𓋇,EGYPTIAN HIEROGLYPH R020,Egyptian Hieroglyphs,R020,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132C7.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132C7_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132C7_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.8266145586967468,17,0.4880764,0.43545133,0.03958400570647214,0.043807484209537506,0.531307,0.44845048,0.59346604,0.069550134,0.4529245,0.5134016,17,低
U_132D6,U+132D6,78550,𓋖,EGYPTIAN HIEROGLYPH S005,Egyptian Hieroglyphs,S005,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132D6.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132D6_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132D6_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.8257040977478027,18,0.5255527,0.44732141,0.03923561063701623,0.039026450365781784,0.5118769,0.54448944,0.63666785,0.06805574,0.059760965,0.49646834,18,低
U_132DF,U+132DF,78559,𓋟,EGYPTIAN HIEROGLYPH S013,Egyptian Hieroglyphs,S013,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132DF.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132DF_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132DF_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.8241645693778992,19,0.50737214,0.44760498,0.02851014858749127,0.04214797541499138,0.47902182,0.4978989,0.6376999,0.022050714,0.31645647,0.46954113,19,低
U_1323C,U+1323C,78396,𓈼,EGYPTIAN HIEROGLYPH NU007,Egyptian Hieroglyphs,NU007,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1323C.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1323C_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1323C_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.823372483253479,20,0.50215304,0.43300778,0.03948305191743633,0.046060819178819656,0.4621179,0.48452413,0.58457255,0.0691171,0.63822526,0.46009263,20,低
