sign_id,unicode_codepoint,codepoint_decimal,unicode_char,unicode_name,unicode_block,auto_label,png_path,has_manual_annotation,gardiner_code,zh_name,en_name,phonetic_value,meaning_zh,meaning_en,related_terms,text_search_terms,category,annotation_source,processed_png_path,relief_variant,relief_png_path,relief_generation_method,view_name,dinov2_score,global_rank,confidence_level
U_131D9,U+131D9,78297,𓇙,EGYPTIAN HIEROGLYPH M028,Egyptian Hieroglyphs,M028,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_131D9.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_131D9_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_131D9_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.62911487,29,中
U_13330,U+13330,78640,𓌰,EGYPTIAN HIEROGLYPH T034,Egyptian Hieroglyphs,T034,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13330.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13330_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13330_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.6274426,30,中
U_132D5,U+132D5,78549,𓋕,EGYPTIAN HIEROGLYPH S004,Egyptian Hieroglyphs,S004,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132D5.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132D5_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132D5_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.6260698,31,中
U_132BC,U+132BC,78524,𓊼,EGYPTIAN HIEROGLYPH R010A,Egyptian Hieroglyphs,R010A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132BC.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132BC_processed.png,relief_light_top,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132BC_relief_light_top.png,synthetic_stone_relief_v1,query_relief_style,0.6252435,32,中
U_13236,U+13236,78390,𓈶,EGYPTIAN HIEROGLYPH NU001,Egyptian Hieroglyphs,NU001,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13236.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13236_processed.png,relief_strong_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13236_relief_strong_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.6252163,33,中
U_1322D,U+1322D,78381,𓈭,EGYPTIAN HIEROGLYPH NL013,Egyptian Hieroglyphs,NL013,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1322D.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1322D_processed.png,relief_light_right,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1322D_relief_light_right.png,synthetic_stone_relief_v1,query_relief_style,0.625085,34,中
U_13220,U+13220,78368,𓈠,EGYPTIAN HIEROGLYPH NL001,Egyptian Hieroglyphs,NL001,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13220.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13220_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13220_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.62481797,35,中
U_1311D,U+1311D,78109,𓄝,EGYPTIAN HIEROGLYPH F029,Egyptian Hieroglyphs,F029,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1311D.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1311D_processed.png,relief_light_top,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1311D_relief_light_top.png,synthetic_stone_relief_v1,query_relief_style,0.6245637,36,中
U_1339C,U+1339C,78748,𓎜,EGYPTIAN HIEROGLYPH V028A,Egyptian Hieroglyphs,V028A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1339C.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1339C_processed.png,relief_light_top,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1339C_relief_light_top.png,synthetic_stone_relief_v1,query_relief_style,0.6235262,37,中
U_1334D,U+1334D,78669,𓍍,EGYPTIAN HIEROGLYPH U024,Egyptian Hieroglyphs,U024,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1334D.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1334D_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1334D_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.62340635,38,中
